loss,val_loss
1059.3214631434676,959.3876663784733
1045.6029658197258,962.9736735547375
1029.0092022585306,1176.4183342571368
988.9948244240745,1028.4121281821174
949.7746745215352,1906.8003459101988
916.2994519595389,892.9259738567775
868.5603730702429,845.3863073785209
830.9444282785339,884.9312017661955
760.2492865584209,1410.7348998006837
729.5673636488787,723.4506125880846
723.7823919550628,842.4074140862729
663.777481586302,1051.9952638126351
657.7012367184371,1008.3729675019268
635.2152029896814,765.4163797245355
636.9372986597589,1486.231140332219
602.5079925989312,727.6629429877682
612.6229699345269,1166.296384450948
592.5614848132701,1524.1661407451154
569.412031816109,690.3695091819396
562.7245584300771,737.2556241491832
562.8975494592535,1824.4769960411995
553.4770663425261,705.3579324432706
577.2751607067642,699.9861689487533
523.3492368967761,1625.606096070978
511.9253669246846,602.9731804250831
489.13584971765926,1028.1964557068536
491.1980231037988,1567.7302291449791
464.68738292469516,638.8333660470302
475.9094905537035,752.4078354282611
473.8331221061465,4442.470793524283
460.11976957065275,652.2168941949897
448.3393018533862,2234.3088022313923
450.94273777336514,648.497018231252
447.0295655274611,589.0011455821808
445.927011256281,767.1042075196876
423.5321300978655,633.985955970857
411.4091670087112,603.7307640921222
403.1482917513712,700.782166856745
422.4630266781564,565.1703979570387
392.4135169038784,765.1589965820312
379.3390827434083,587.4009241254416
387.74608228604797,939.0384566058416
358.22158460513947,570.5491771905718
366.9332529638594,580.2589141630652
358.4537917571398,601.5952684889994
360.6279509385872,913.0018016123604
339.57235393409593,560.6732362873046
373.65450033570556,653.4116361081639
330.11766005681426,572.2902205453173
312.7248360703743,559.8569171521848
