loss,val_loss
1117.6368340364563,733.8060213223963
1099.4140054334973,747.4802541204496
1068.7691339154337,1760.433400735846
1042.1711168503014,1199.7644363486381
1003.0190997420024,2635.4640809180373
964.1352479825946,629.2395561675097
904.4852070878668,997.1384804243465
877.8440271410554,2290.3256653007925
792.881799105266,2847.0597376070687
739.4674386629915,574.1695035213162
697.0869957033752,516.672331620362
677.4507864659448,470.58462591840026
640.8575659390827,483.637052049249
654.0652825247394,582.0925476680076
662.725096522349,767.5090407861031
630.7030623617422,687.5794686333628
596.4378770025475,574.9485568029164
593.1383666014686,729.1519080023716
591.6505479684325,492.6196627169513
595.4877004776148,972.3623554230958
568.4638210494575,476.6618217299697
581.0703288780276,1050.741868154994
557.6086694007497,618.184272309278
522.6279632157809,439.42107679383554
529.6224350571862,515.7180553366654
501.77900548198147,490.20520422132665
505.05724190535415,429.4238334799897
490.90709250802644,542.719626263934
497.7381367069418,550.9142809992145
464.74047984502624,992.4645609909091
491.06748032798987,3084.4828655964816
466.0780764182052,723.5574360559508
448.0592631426169,495.7644775077925
433.09630168790164,497.311905517969
415.89047446486126,418.9714226870822
416.5833946682565,629.9766047145173
411.6589697203065,489.51603475443034
434.9998310243068,465.6217859117335
412.8085939455002,477.60006994320116
399.8197053644155,470.37264982401234
392.01754487530684,447.15990593354746
409.2289147777179,508.6357604022825
391.85750680027826,421.9724196532656
389.65456872777554,589.5728334102575
395.1547924190817,1420.0639221601825
341.2848419345853,512.3053408087426
342.7149645300113,446.6090474466158
350.62926166932755,592.9332047510406
359.1872400238604,618.9161102167888
321.458117390351,544.5446930957688
